time_index,mean,std,p05,p25,p50,p75,p95,actual
0,263.4176,0.76649445,262.08167,263.01324,263.3324,263.75723,264.91455,262.44775
1,263.4461,0.7678973,262.1082,263.0316,263.35175,263.78693,264.94144,262.45119
2,263.47458,0.7693005,262.13495,263.05038,263.3717,263.81885,264.9683,262.45463
3,263.50305,0.7707009,262.16196,263.06955,263.4065,263.85257,264.99518,262.45808
4,263.5316,0.77208203,262.1892,263.09595,263.4411,263.88617,265.02206,262.46152
5,263.56012,0.7734444,262.21674,263.13168,263.47552,263.9196,265.04898,262.4649600000001
6,263.58865,0.77476263,262.24454,263.16513,263.50983,263.95276,265.07593,262.4684
7,263.61728,0.7760394,262.27264,263.19864,263.54398,263.98584,265.1029,262.47184
8,263.6459,0.7772589,262.3011,263.23224,263.578,264.01877,265.12994,262.47528
9,263.67462,0.7784138,262.32983,263.2659,263.60324,264.05148,265.15707,262.47872
10,263.70343,0.77949196,262.35892,263.2941,263.6234,264.0841,265.18423,262.48216
11,263.7323,0.7804894,262.3884,263.31683,263.6418,264.11658,265.2115,262.4856
12,263.76126,0.7813993,262.4182,263.33984,263.66052,264.1489,265.23883,262.48904
13,263.7903,0.78221107,262.44843,263.36322,263.6794,264.18115,265.26627,262.49248
14,263.8195,0.7829143,262.47903,263.38724,263.70026,264.21323,265.29385,262.49592
15,263.84882,0.7835024,262.51007,263.42313,263.72888,264.24524,265.32153,262.49937
16,263.87823,0.783977,262.5415,263.4591,263.75763,264.27716,265.34933,262.50281
17,263.9078,0.7843232,262.5734,263.49524,263.7865,264.30896,265.37732,262.50625
18,263.93756,0.7845327,262.60574,263.53094,263.8155,264.34073,265.4054,262.50969
19,263.96747,0.7846089,262.63855,263.564,263.85162,264.3724,265.43365,262.51313
20,263.99753,0.78453565,262.67188,263.5973,263.88776,264.40405,265.4621,262.51657
21,264.0278,0.78431505,262.7054,263.63083,263.91968,264.43085,265.49072,262.52001
22,264.05823,0.78393245,262.73868,263.66388,263.9472,264.4572,265.5195,262.52345
23,264.0889,0.78339803,262.77246,263.6976,263.97504,264.48367,265.54852,262.52689
24,264.11978,0.7826952,262.80676,263.73514,264.00867,264.51016,265.57773,262.53033
25,264.1509,0.7818226,262.8416,263.7731,264.04514,264.53674,265.60718,262.53377
26,264.18222,0.7807692,262.87698,263.81146,264.0816,264.56342,265.6368,262.53722
27,264.21378,0.7795292,262.91293,263.85022,264.11804,264.59015,265.6667,262.54066
28,264.2455,0.7780728,262.9494,263.88608,264.1529,264.61694,265.69675,262.5441
29,264.27744,0.7763893,262.98773,263.91852,264.1847,264.64377,265.72696,262.54754
30,264.30954,0.77445847,263.02704,263.95142,264.2169,264.6706,265.7573,262.55098
31,264.34177,0.7722757,263.06668,263.9904,264.2495,264.6974,265.78778,262.55442
