date,monthly_rate,warning_level,warning_color
2016-07-02,,-1,n/a
2016-07-03,,-1,n/a
2016-07-04,,-1,n/a
2016-07-05,,-1,n/a
2016-07-06,,-1,n/a
2016-07-07,,-1,n/a
2016-07-08,,-1,n/a
2016-07-09,,-1,n/a
2016-07-10,,-1,n/a
2016-07-11,,-1,n/a
2016-07-12,,-1,n/a
2016-07-13,,-1,n/a
2016-07-14,,-1,n/a
2016-07-15,,-1,n/a
2016-07-16,,-1,n/a
2016-07-17,,-1,n/a
2016-07-18,,-1,n/a
2016-07-19,,-1,n/a
2016-07-20,,-1,n/a
2016-07-21,,-1,n/a
2016-07-22,,-1,n/a
2016-07-23,,-1,n/a
2016-07-24,,-1,n/a
2016-07-25,,-1,n/a
2016-07-26,,-1,n/a
2016-07-27,,-1,n/a
2016-07-28,,-1,n/a
2016-07-29,,-1,n/a
2016-07-30,,-1,n/a
2016-07-31,6.255394389555363,0,green
2016-08-01,6.29339966449561,0,green
2016-08-02,6.333775160883761,0,green
2016-08-03,6.37611221984946,0,green
2016-08-04,6.419920450748236,0,green
2016-08-05,6.46470946293573,0,green
2016-08-06,6.509988865767809,0,green
2016-08-07,6.555268268600003,0,green
2016-08-08,6.60005728078761,0,green
2016-08-09,6.643865511686272,0,green
2016-08-10,6.686202570652085,0,green
2016-08-11,6.726578067040123,0,green
2016-08-12,6.764501610206366,0,green
2016-08-13,6.799482809506117,0,green
2016-08-14,6.831031274295242,0,green
2016-08-15,6.858656613929156,0,green
2016-08-16,6.881868437763501,0,green
2016-08-17,6.900176355154144,0,green
2016-08-18,6.913089975456387,0,green
2016-08-19,6.92011890802587,0,green
2016-08-20,6.920772762218576,0,green
2016-08-21,6.914561147389577,0,green
2016-08-22,6.900993672894856,0,green
2016-08-23,6.879579948089827,0,green
2016-08-24,6.8498295823301305,0,green
2016-08-25,6.8112521849714085,0,green
2016-08-26,6.763357365369302,0,green
2016-08-27,6.705654732879452,0,green
2016-08-28,6.637653896857387,0,green
2016-08-29,6.558864466658747,0,green
2016-08-30,6.468796051639174,0,green
2016-08-31,6.366958261154082,0,green
2016-09-01,6.252942436333456,0,green
2016-09-02,6.126805857386216,0,green
2016-09-03,5.989243584229371,0,green
2016-09-04,5.8410896887621675,0,green
2016-09-05,5.683178242885106,0,green
2016-09-06,5.516343318497206,0,green
2016-09-07,5.341418987499196,0,green
2016-09-08,5.159239321790437,0,green
2016-09-09,4.970638393270747,0,green
