time_index,exceed_probability,p_green,p_yellow,p_orange,p_red,warning_level,warning_color
30,0.0,1.0,0.0,0.0,0.0,0,green
31,0.0,1.0,0.0,0.0,0.0,0,green
32,0.0,1.0,0.0,0.0,0.0,0,green
33,0.0,1.0,0.0,0.0,0.0,0,green
34,0.0,1.0,0.0,0.0,0.0,0,green
35,0.0,1.0,0.0,0.0,0.0,0,green
36,0.0,1.0,0.0,0.0,0.0,0,green
37,0.0,1.0,0.0,0.0,0.0,0,green
38,0.0,1.0,0.0,0.0,0.0,0,green
39,0.0,1.0,0.0,0.0,0.0,0,green
40,0.0,1.0,0.0,0.0,0.0,0,green
41,0.0,1.0,0.0,0.0,0.0,0,green
42,0.0,1.0,0.0,0.0,0.0,0,green
43,0.0,1.0,0.0,0.0,0.0,0,green
44,0.0,1.0,0.0,0.0,0.0,0,green
45,0.0,1.0,0.0,0.0,0.0,0,green
46,0.0,1.0,0.0,0.0,0.0,0,green
47,0.0,1.0,0.0,0.0,0.0,0,green
48,0.0,1.0,0.0,0.0,0.0,0,green
49,0.0,1.0,0.0,0.0,0.0,0,green
50,0.0,1.0,0.0,0.0,0.0,0,green
51,0.0,1.0,0.0,0.0,0.0,0,green
52,0.0,1.0,0.0,0.0,0.0,0,green
53,0.0,1.0,0.0,0.0,0.0,0,green
54,0.0,1.0,0.0,0.0,0.0,0,green
55,0.0,1.0,0.0,0.0,0.0,0,green
56,0.0,1.0,0.0,0.0,0.0,0,green
57,0.0,1.0,0.0,0.0,0.0,0,green
58,0.0,1.0,0.0,0.0,0.0,0,green
59,0.0,1.0,0.0,0.0,0.0,0,green
60,0.0,1.0,0.0,0.0,0.0,0,green
61,0.0,1.0,0.0,0.0,0.0,0,green
62,0.0,1.0,0.0,0.0,0.0,0,green
63,0.0,1.0,0.0,0.0,0.0,0,green
64,0.0,1.0,0.0,0.0,0.0,0,green
65,0.0,1.0,0.0,0.0,0.0,0,green
66,0.0,1.0,0.0,0.0,0.0,0,green
67,0.0,1.0,0.0,0.0,0.0,0,green
68,0.0,1.0,0.0,0.0,0.0,0,green
69,0.0,1.0,0.0,0.0,0.0,0,green
70,0.0,1.0,0.0,0.0,0.0,0,green
71,0.0,1.0,0.0,0.0,0.0,0,green
72,0.0,1.0,0.0,0.0,0.0,0,green
73,0.0,1.0,0.0,0.0,0.0,0,green
74,0.0,1.0,0.0,0.0,0.0,0,green
