time_index,rate_mean,rate_std,rate_median,rate_p05,rate_p95,rate_min,rate_max,p_green,p_yellow,p_orange,p_red,exceed_probability
30,3.2480820000000086,0.26064504653192977,3.2794000000001233,2.8823000000000207,3.6689299999998184,2.625099999999975,3.79729999999995,1.0,0.0,0.0,0.0,0.0
31,3.2848699999999873,0.27007850427122887,3.31899999999996,2.8982849999999303,3.74803999999998,2.6455000000000837,3.832499999999982,1.0,0.0,0.0,0.0,0.0
32,3.321114000000016,0.28112513446607285,3.3494000000000597,2.902660000000162,3.787504999999987,2.664099999999962,3.886500000000069,1.0,0.0,0.0,0.0,0.0
33,3.356590000000001,0.29358038585569884,3.3703499999999167,2.9003099999998994,3.8293850000000815,2.6817000000000917,3.9887999999998556,1.0,0.0,0.0,0.0,0.0
34,3.3911219999999958,0.3073680027230579,3.3863999999999805,2.896215000000052,3.8747550000000612,2.697800000000143,4.09069999999997,1.0,0.0,0.0,0.0,0.0
35,3.4245460000000048,0.32237580504367114,3.4207000000000107,2.890044999999941,3.9331199999999966,2.712400000000116,4.191900000000032,1.0,0.0,0.0,0.0,0.0
36,3.456650000000004,0.3383072165282541,3.450599999999895,2.8958699999999906,3.9809549999999945,2.725300000000061,4.291600000000017,1.0,0.0,0.0,0.0,0.0
37,3.487265999999977,0.3550626720246695,3.47424999999987,2.9069799999999875,4.018094999999948,2.7367000000001553,4.389699999999948,1.0,0.0,0.0,0.0,0.0
38,3.5161900000000332,0.3724605133159832,3.4950500000001057,2.9168249999999944,4.055010000000038,2.7461000000000695,4.485200000000077,1.0,0.0,0.0,0.0,0.0
39,3.543251999999993,0.3903143564265223,3.5150999999998476,2.925199999999916,4.097309999999948,2.753700000000208,4.5779,1.0,0.0,0.0,0.0,0.0
40,3.5682500000000075,0.4084773129612725,3.5328000000000657,2.932209999999975,4.151165000000049,2.747000000000071,4.667299999999841,1.0,0.0,0.0,0.0,0.0
41,3.5909959999999956,0.42675681502155977,3.5513499999999567,2.936670000000072,4.204254999999978,2.7199999999998,4.752799999999979,1.0,0.0,0.0,0.0,0.0
42,3.611345999999994,0.4450279882094976,3.5746500000000196,2.938315000000091,4.2541700000000215,2.6912999999999556,4.834100000000035,1.0,0.0,0.0,0.0,0.0
43,3.629073999999978,0.4631338347627254,3.5950000000000273,2.9383699999999293,4.300690000000008,2.661200000000008,4.910499999999956,1.0,0.0,0.0,0.0,0.0
44,3.6440479999999935,0.48087236044163584,3.6135999999999058,2.93626499999998,4.343260000000032,2.6298000000001593,4.981299999999919,1.0,0.0,0.0,0.0,0.0
45,3.6560399999999937,0.49821939065486487,3.6373000000000957,2.9248600000000464,4.381580000000008,2.596699999999828,5.0465999999998985,1.0,0.0,0.0,0.0,0.0
46,3.6648919999999907,0.5149859387182771,3.6572499999998627,2.904800000000068,4.415349999999966,2.56230000000005,5.10570000000007,1.0,0.0,0.0,0.0,0.0
47,3.6704040000000124,0.5310116332789209,3.673150000000078,2.8744850000000612,4.444404999999926,2.526800000000094,5.157899999999927,1.0,0.0,0.0,0.0,0.0
48,3.6724240000000052,0.5461877103363321,3.6847999999999956,2.842209999999966,4.469719999999994,2.490099999999984,5.202599999999848,1.0,0.0,0.0,0.0,0.0
49,3.669453999999987,0.5602520730812482,3.69055000000003,2.8062800000000836,4.49158000000001,2.4511999999999716,5.237699999999904,1.0,0.0,0.0,0.0,0.0
50,3.6588439999999856,0.5727388898823473,3.6875499999999874,2.7638050000000134,4.502764999999976,2.4084000000000287,5.258899999999812,1.0,0.0,0.0,0.0,0.0
51,3.643380000000002,0.5843685906993175,3.6787500000000364,2.717880000000025,4.506834999999989,2.362899999999854,5.27150000000006,1.0,0.0,0.0,0.0,0.0
52,3.627199999999984,0.5957848193940848,3.668549999999982,2.671849999999938,4.508985000000029,2.317199999999957,5.281300000000101,1.0,0.0,0.0,0.0,0.0
53,3.61025000000001,0.6069515016936362,3.656749999999988,2.6312900000000012,4.509505000000001,2.2717999999999847,5.288299999999936,1.0,0.0,0.0,0.0,0.0
54,3.592473999999988,0.6177231857459723,3.643599999999992,2.5984899999998903,4.507794999999998,2.226599999999962,5.292299999999841,1.0,0.0,0.0,0.0,0.0
55,3.573851999999988,0.6281764012746499,3.63169999999991,2.56505999999996,4.504330000000061,2.181500000000142,5.293300000000045,1.0,0.0,0.0,0.0,0.0
56,3.5543319999999996,0.6381392700145319,3.622449999999958,2.53112000000001,4.498489999999912,2.1369999999999436,5.291299999999865,1.0,0.0,0.0,0.0,0.0
57,3.533833999999988,0.6476160586587035,3.611799999999903,2.496480000000008,4.490509999999971,2.0927999999998974,5.285799999999881,1.0,0.0,0.0,0.0,0.0
58,3.512359999999999,0.6564709471787867,3.5998499999999467,2.4617199999999344,4.479995000000087,2.049299999999903,5.276999999999816,1.0,0.0,0.0,0.0,0.0
59,3.4898360000000093,0.6647578134285331,3.5862500000000637,2.426384999999982,4.467184999999994,2.006399999999985,5.264999999999873,1.0,0.0,0.0,0.0,0.0
60,3.4662379999999895,0.6723040680786493,3.571399999999926,2.3909950000001685,4.451729999999986,1.9645000000000437,5.248900000000049,1.0,0.0,0.0,0.0,0.0
